"","job_title","job_location","company_name","job_description","city"
"25","BI ANALYST","Dundalk, County Louth","BoyleSports","Bring data insights to life and drive them to be actioned efficiently by delivering scalable solutions such as dashboards, self-service analysis and automated…","Dublin"
"26","Marketing Analyst, Ireland","Dublin","GeistM","Conduct analysis that results in actionable insights and data-driven recommendations. Develop new concepts and ideas to drive client campaign performance across…","Dublin"
"27","BI Data Analyst","Dublin","Cpl","Bring data insights to life and drive them to be actioned efficiently by delivering scalable solutions such as dashboards, self-service analysis and automated…","Dublin"
"28","Reporting Business Intelligence Analyst","Dublin","ServiceSource","This role will mine data from a variety of data sources in order to support impactful recommendations to stakeholders.","Dublin"
"29","Reporting Analyst- Dublin, Ireland","Dublin","UnitedHealth Group","Support ad hoc data reporting. Significant experience with data analysis along with financial and variance analysis. Ability to influence without authority.","Dublin"
"30","Actuarial Analyst Internship (June 2021 - Sept 2021) - Dublin, Ireland","Dublin","UnitedHealth Group","Assisting in the development of actuarial data architecture and assumption setting. As a result, we can tap into valuable health care data to uncover insights…","Dublin"
"31","eCommerce Analyst","Drogheda, County Louth","Boyne Valley Group","= Analytically driven withexperience manipulating large data sets in SQL or equivalent, and drawingactionable insights from data.","Dublin"
"32","Quality Analyst-Dublin hub-Turkish","Dublin","TikTok","Conduct root cause data analysis and summary. Conduct quality assessment work by ensuring and evaluating the quality delivery of the content reviewed in…","Dublin"
"33","Customer Support Analyst - FTC - Dublin","Dublin","TELUS International","You will be data driven and have the ability to see and investigate and research user issues and identify and escalate bugs so they can be resolved as quickly…","Dublin"
"34","Business Analyst","Dublin","Wigmore IT Group","Acquire data from primary or secondary data sources and maintain databases/data systems. Technical expertise regarding data models, database design development,…","Dublin"
"35","Senior Data Analyst","Dublin","LoanITT","Manipulating data and extracting, transforming, and cleaning data for modelling purposes. Encyclopedic knowledge of credit and consumer data.","Dublin"
"36","Operations Support Analyst","Dublin","Workday","Our customers are supported by proficient analysts who can collaborate with all of our engineering teams to quickly analyze and diagnose issues for product…","Dublin"
"37","Logistics Project Analyst","North Dublin, County Dublin","Expeditors","Minimum 3 years experience in a business analyst or developer role. Collect, consolidate and present data in a manner that is clear and understandable for a…","Dublin"
"38","Data Warehouse Developer","Dublin","Staycity Group","Building ETLS to load data from streaming and batch sources into data lake / data warehouse. To understand their business objectives; and working with our data…","Dublin"
"39","Quality Analyst-Dublin hub-Hausa","Dublin","TikTok","Conduct root cause data analysis and summary. Conduct quality assessment work by ensuring and evaluating the quality delivery of the content reviewed in…","Dublin"
"40","Market Data Analyst","Dublin","S4 Market Data","Exceptional analytical abilities, including the interpretation of large data sets and deciphering the findings into clear messages and visuals.","Dublin"
"41","Logistics Systems Analyst","Dublin","Facebook","Experience in data analytics and capable of digging into data. Work closely with developers to understand data structures, data sources and systematic processes…","Dublin"
"42","Solutions Learning Experience Designer Analyst","Dublin","Salesforce","Use data and internal reviews to make recommendations for how to develop curricula goals. To get the best candidate experience, please consider applying for a…","Dublin"
"43","Management Analyst (Org & Cost)","Dublin","TikTok","Significant experience in data analysis, project management, and cross-function workflow processes. TikTok is the leading destination for short-form mobile…","Dublin"
"44","QC Microbiology Analyst","Dublin","PSC Biotech","Maintain data integrity and ensure compliance with company SOPs, specifications and cGMP regulations. The candidate will provide support to the team and other…","Dublin"
"45","Data Analyst D24","Dublin West, County Dublin","Executive Edge Recruitment","To liaise with NTA and garage staff to record correct data. To gather data providing correct mileage recording on DMS, i.e. checking module prints,.","Dublin"
"46","Product Data Analyst","Shannon, County Clare","Mentor Graphics (Ireland) Limited","Extensive experience in a similar master data management role. As the selected candidate, we would required you to own the set up and maintenance of master data…","Dublin"
"47","Temp QC Data Analyst","Limerick","Regeneron","Collates data on record review for cross functional review. Summary: Supports the efforts of the QA Operations functions by logging in manufacturing records and…","Dublin"
"48","Data Analyst","Dublin","Next Generation","You have experience as a data analyst in a client facing environment. My client's data analytics team is growing and they need someone like you to join them to…","Dublin"
"49","Microbiology Analyst","South Dublin, County Dublin","Sigmar Recruitment","The Microbiology analyst will carry out equipment qualification and assay validation. Report, evaluate, archive, trend and approve analytical data.","Dublin"
"50","Investigations Analyst","Clonskeagh, County Dublin","Fiserv, Inc.","Develop new SQL processes to enhance data extract requirements. They also ensure that our data remains secure through their work in cyber-security.","Dublin"
"51","Risk Analyst","Dublin","Franklin Templeton Investments","Key responsibilities involve providing analysis, reporting and data to the Risk team and various data requestors (Client Service, RFP groups, etc.).","Dublin"
"52","Molecular Biology Analyst","County Sligo","Dillon Engineering Services","Make detailed observations and accurately and precisely record data, summarize data for reports and document all activities performed in accordance with current…","Dublin"
"53","Content Review Associate - Norwegian","Dublin","Accenture","Computer savvy, Technologically capable – especially web browsers, and data entry skills. Ability to manage a team of multi-cultural analysts in a fast-paced…","Dublin"
"54","Insight Analyst","Dublin","Keelings","Will love data analysis and get a real kick out of using the data to deliver insight. This will involve being tasked to integrate current data sources to…","Dublin"
"55","Data Analyst","Dublin","Eden Recruitment","BA/BS degree in Computer Science or Business, related field or equivalent practical experience with 2 years’ work experience in data analysis.","Dublin"
"56","Project Analyst, OPMO","Dublin","West Pharmaceutical Services","Support the maintenance of the master list (Portfolio) of projects across West and key metrics and data. Working by the side of its customers from concept to…","Dublin"
"57","Data Engineer","Dublin","Idiro Analytics","Implement data solutions and automate data processing. To understand their business objectives; and working with our data analysts and data scientists to…","Dublin"
"58","Professional Services Analyst","Tralee, County Kerry","Aspen Grove Solutions","The Professional Services Analyst will capture the voice and outcomes of the customer to drive business process documentation, including user stories, workflows…","Dublin"
"59","Application Support Analyst","Dublin","AFEX","Ability to access all areas of the department with data processing or communication equipment. Works in office conditions but may be required to visit other…","Dublin"
"60","Business Analyst (Data Intelligence)","Dublin","Morgan McKinley","Are you a Business Analyst with Data Warehouse experience? Have you got experience using SQL and Power BI? Are you interested in working within the financial…","Dublin"
"61","Data Analytics: Learning Content Subject Matter Expert","Dublin","Code Institute","Work with a company that has been shortlisted for Work Happy - Ireland’s Happiest Workplaces. Code Institute is one of the fastest growing online Ed-Tech…","Dublin"
"62","AML and Compliance Analyst - Financial Services","Dublin","Engage People","Provide third guidance on data requests. A global Asset Manager is landing in Ireland and building out a new Compliance team in a prime Dublin Office space.","Dublin"
"63","Payments Product Data Analyst","Dublin","Facebook","Develop data infrastructure to connect payment product data to operational data. Analytically driven with experience manipulating large data sets in SQL or…","Dublin"
"64","GIS Analyst","Dublin","Actavo","Produce data models and manage database environments. Develop and maintain spatial and data driven QC models within GIS based platform(s).","Dublin"
"65","Analyst, Analytics","Athlone, County Westmeath","The NPD Group","Experience working with large, structured data sets preferred. Produce statistical analysis and insights development from large data sets.","Dublin"
"66","Technology - Dublin - 2021 ReEntry Program","Dublin","JPMorgan Chase Bank, N.A.","We have opportunities for software engineers, architects, project managers, business analysts, data scientists and senior management.","Dublin"
"67","IT Application Support Analyst – Trade Floor","Dublin","Barclays","Ensuring that trading systems are maintained to meet control standards including data protection and security, delivery of trading information for regulatory…","Dublin"
"68","Application Support Analyst","Dublin","Marex Spectron","We are currently searching for an experienced support analyst to join our busy IT team based in Sandyford in Dublin.","Dublin"
"69","FTC Customer Support analyst - Dublin","Dublin","TELUS International Ireland","You will be data driven and have the ability to see and investigate and research user issues and identify and escalate bugs so they can be resolved as quickly…","Dublin"
"70","Web Analyst","Dublin","Gambling.com Group","Strong data driven thinking to problem solve and tie data to core decision making. Use data to define CRO test strategy.","Dublin"
"71","Quantitative Analyst Programme 2021 - PhD","Dublin","Susquehanna International Group","An introduction to financial data analysis through completion of your personalised starting project. Establish meaningful relations among financial products…","Dublin"
"72","IT BUSINESS ANALYST","Dundalk, County Louth","BoyleSports","Delivering elements of systems design, including data migration rules, business rules, wireframes, or other detailed deliverables.","Dublin"
"73","IT Operational Technology Analyst","Dublin","Irish Water","Availability of all OT applications and infrastructure including hardware, networks, data centre and. Of time-series data in to the National Telemetry System,…","Dublin"
"74","Finance Analyst (FP&A)","Dublin","Citco","Role would interpret the banking division’s financial data in order to assess and present findings to the relevant stake holders in a clear and concise way.","Dublin"
"75","CyberSecurity Analyst","Dublin","Susquehanna International Group","At SIG, the data we develop, collect, and use drives hundreds of thousands of decisions every day. Our Security team plays a pivotal role in the firm's success…","Dublin"
"76","Contract Management Analyst - 4045","Dublin","ION","Monitor quality of output from third party provider to ensure data quality standards are met. This work will involve reviewing agreements to ensure data has…","Dublin"
"77","HR Data Analyst","Dublin","Abrivia","Ensure the security and integrity of HR data, systems and policies. An excellent opportunity has arisen for data driven HR Analyst to join a busy HR team.","Dublin"
"78","Data Analyst (Swedish Speaking)","Dublin","Intercontinental Exchange","Use excel functions to organize, analyze and create reference data. Help identify trends and causation of inaccurate and/or incomplete data.","Dublin"
"79","Risk Analyst, Enterprise Risk","Dublin","BNY Mellon","Implements standard projects focused on ongoing management/maintenance of the enterprise-wide risk management frameworks that establish policies, protocols and…","Dublin"
"80","Senior Data Analyst - Business Modelling","Dublin","IT Search","Do you have at least 4 years experience in a data analyst or BI analyst role? We are hiring technical data modellers/senior analysts at consultant to manager…","Dublin"
"81","Research Executive","Dublin","Kantar TNS","Manage the data quality process to the point of delivery - Analysing and checking Quality of figures within a set of data tables.","Dublin"
"82","Analytical Laboratory Analyst","Limerick","Cook Group","Review and approve laboratory testing data as required and reports for release testing of finished product and raw materials analysis.","Dublin"
"83","Casino Performance Analyst","Dublin","PokerStars","Ability to interpret large amounts of data and identify the underlying patterns and trends: practical experience with data and analysis tools on large datasets…","Dublin"
"84","Quality Analyst","Dublin","Coinbase","Responsible for driving accuracy and customer insights for Coinbase Support by performing quality audits and data analysis across multiple channels as a domain…","Dublin"
"85","FP&A Analyst","South Dublin, County Dublin","Aptiv","Be actively involved with PBU finance teams, and contribute to integrate financial data and reports. Aptiv is a global technology company with automotive roots…","Dublin"
"86","Accounts Receivables Analyst","Dublin","Glen Dimplex Europe Holdings Ltd","By submitting your application, you agree that Glen Dimplex may collect your personal data for recruiting and related purpose. Reporting to: AR Team Lead.","Dublin"
"87","IT Security Analyst","Dublin","Syncreon","Monitor all types of access to protect the confidentiality and integrity of customer and employee data and ensure compliance with organization policies and…","Dublin"
"88","Project Analyst","Dublin","Bentley Systems","Knowledge and demonstrable experience with principles and processes related to project data capture and processing. What You Bring To The Team:","Dublin"
"89","IT Business Analyst – Manufacturing","Dublin","Team Horizon","Be the IT link for key business Manufacturing processes/projects streamlining the End to End data management. Our client is developing the capability to produce…","Dublin"
"90","Reporting Systems and BI Analyst","Dublin","Penneys","Responsible for presentation of data using visualisation tools such as Tableau. Expert in the use of large data warehouse such as Teradata.","Dublin"
"91","Data Governance Analyst - 6 month FTC","Shannon, County Clare","AP Global Operations","Ability to establish solid partnership with IT teams and other functions to work effectively as a Governance analyst.","Dublin"
"92","Senior Data Analyst - Risk","Dublin","Circle","Drive the enhancement of data tools available to data analysts at Circle. 3+ years' experience as Data Analyst in a data intensive environment, working with…","Dublin"
"93","Product Analyst","Dublin","fire.com","We are looking to recruit an analyst to join our product team. It will be your job to gather information, analyse data, design solutions and document…","Dublin"
"94","Senior Data Analyst","Dublin","Abbott Laboratories","Create data dictionaries and business glossaries to document data lineages, data definitions, and metadata for all business-critical data domains.","Dublin"
"95","Product Analyst","Dublin","Realex Payments","A minimum of 3 years of experience as a business analyst, product analyst or product owner in a technology environment on agile development team.","Dublin"
"96","Developer Analyst","Dublin","BPM","We require an analyst who can use data at scale. This is why we need a developer analyst and not a business analyst.","Dublin"
"97","PMO Analyst - Banking - FS Consulting - Dublin","Dublin","Ernst & Young","You will prepare monthly Cost Forecasts and Actual Variance analysis, resolving any data gaps and escalating variances as required. Ideally, you’ll also have.","Dublin"
"98","Sales Operations Analyst","Dublin","MarketStar","Generate data-driven insights and forecasts for strategy planning. Ability to interpret data dashboards to identify trends and focus areas.","Dublin"
"99","Data Analyst - Co Monaghan","County Monaghan","Recruitment Bureau","Previous experience in data analysis. This role is based in Kildare. Job Title: Compost Data Analyst. Reporting to the General Manager the main objective of the…","Dublin"
"100","Business Analyst","Dublin","EirGrid Group","You will have previous project experience as a business analyst. You should have a keen interest in developing your skills and experience across a broad range…","Dublin"
"101","IT Business Analyst Supply Chain","Dublin","Team Horizon","Be the IT link for key business Global Supply Chain processes/projects streamlining the End to End data management. WHAT YOU WILL BE DOING:","Dublin"
"102","Analyst, HR General Services","Limerick","Northern Trust Corp.","May be responsible for training other HR Service Centre analysts. Responds to questions and counsels employees and managers on HR policies and processes, HR…","Dublin"
"103","Research Executive","Dublin","KANTAR","Manage the data quality process to the point of delivery - Analysing and checking Quality of figures within a set of data tables.","Dublin"
"104","Lab Analyst","Cork","PepsiCo","Meticulous attention to sample data entry and preparation,. We are currently pipelining for roles which will be coming up in out Quality department in the areas…","Dublin"
"105","IT Support Analyst","Kildare","Mercury Engineering","Mercury is an Irish based European Contractor. We build and manage complex engineering projects that reimagine how people work and live in the built environment…","Dublin"
"106","Risk Analyst","Dublin","Telnyx","1+ years of experience in extracting and processing data sets using SQL, Excel, and common scripting languages. In This Role You Will.","Dublin"
"107","Business Marketing Analyst","South Dublin, County Dublin","CRL Recruitment","Supporting the development of marketing plans by providing market insights through data mining of various internal and external data sources.","Dublin"
"108","Infosec Analyst","Dublin","Toast","Solid experience with event data analysis, and event/incident handling. The right candidate is someone who is comfortable analyzing security data, investigating…","Dublin"
"109","Analyst","Dublin","Abrivia","You have a love of extracting, interpreting, manipulating, summarising high level data and presenting in a concise fashion on PowerPoint for decision making.","Dublin"
"110","Data Operations Lead","Dublin","Firstaff Personnel Consultants Ltd","Act as central point person for all data assets in the data warehouse and guide the team in navigating the data warehouse.","Dublin"
"111","Custody Support Analyst, Client Services","Dublin","Coinbase","Make informed, data-driven decisions through a thorough understanding of metrics and the business. Set a high bar for support analysts within the organization…","Dublin"
"112","Security Monitoring Analyst","Dublin","Vodafone","Ability to extract data from many sources and aggregate it into more useful information. Reporting to the Head of Cyber Security Ireland.","Dublin"
"113","Finance and Business Management Analyst","Dublin","JPMorgan Chase Bank, N.A.","Gather, analyse and interpret internal and external data and write reports. (NYSE: JPM), is a leading provider of payments, fraud management and data security…","Dublin"
"114","Financial Analyst - II - FSR Level - P2","Dublin","Saviance","Financial reporting, data analysis, financial systems, attention to detail This is 12 months contract. Financial Analyst - II - FSR Level - P2.","Dublin"
"115","Business Intelligence Analyst","Louth","Carrick Recruitment","Work on interesting data lead projects. Deliver automated reporting and ensure data insights are clear. We have a superb new opportunity in the Data Analytics…","Dublin"
"116","Marketing Coordinator/Analyst","Remote","Larvol","Larvol provides data and software solutions to support the competitive intelligence needs of the pharmaceutical and life science industries.","Dublin"
"117","Quality Analyst-Dublin hub-Danish","Dublin","TikTok","Conduct root cause data analysis and summary. Conduct quality assessment work by ensuring and evaluating the quality delivery of the content reviewed in…","Dublin"
"118","Data Lake Analyst","Dublin","Reperio Human Capital","You will create workflows within the QDC platform, working with the company's data infrastructure team. Data Lake Analyst, SQL Server, AWS, Python.","Dublin"
"119","Logistics Operations Analyst","Dublin","PlaceMe","Continue utilisation of new data highlighting opportunities to apply new data and information by creating reporting which aligns with business values.","Dublin"
"120","Investor Relations - Global PLC","South Dublin, County Dublin","Barden FS","Helping to develop and manage relationships with sell-side analysts,. Monitoring analyst reports and collating information and delivering key points,.","Dublin"
"121","CRM Analyst - Betfair International","Dublin","Betfair International","Ability to extract and analyse data from a data warehouse, with the ability to make sense of data from different sources. Are you our next star player?","Dublin"
"122","Wind Analyst","Dublin","ESB","Gathering, validation and analysis of wind data. Experience in energy assessment based on operational data. Business Unit: Engineering and Major Projects.","Dublin"
"123","Tax Analyst","Dublin","TIBCO Software","This is an excellent opportunity for a part qualified or newly qualified (AITI, CTA, ACA, ACCA, CIMA or equivalent) to join our Tax team based in Dublin as a…","Dublin"
"124","Investigator Financial Analyst I","Dublin","Parexel","Maintains project accrual data of investigator payments (Accrued liability). Investigator Financial analysts are expected to build business relationships across…","Dublin"
"125","Data Protection Analyst","Cork","Johnson Controls","Minimum of six (6) years of experience in data security, data protection, data governance or data privacy. Understanding of data protection and data governance…","Dublin"
"126","HR Analyst","Dublin","eShopWorld","Strong data analysis and reporting skills. Qualification in data analytics a distinct advantage. You will have a natural aptitude for data analysis, reporting…","Dublin"
"127","Sales Compensation Administration Analyst, Google Cloud","Dublin","Google","Experience working with SQL and/or R to extract and manipulate quantitative data. Note: By applying to this position your application is automatically submitted…","Dublin"
"128","Business & Operations Analyst","Dublin","Blueface","Data analytics and business analyst skills are desirable. Experience with Tableau or an equivalent data reporting package.","Dublin"
"129","Senior Product Data Analyst","Dublin","SurveyMonkey","Can enhance and challenge with data. You will apply your expertise in quantitative analysis, data visualization and data-mining to tell the story behind the…","Dublin"
"130","CRM Consultant","Dublin","PROVIDENT C.R.M.","Gather requirements, develop design specification documents and also perform tasks such as configuration, testing, data manipulation and documentation;","Dublin"
"131","Procurement Financial Analyst","Dublin","Perrigo Company","The analyst must be able to prioritize, work through interruptions, and multi- task to meet goals and timelines. SAP Pricing and Data Management.","Dublin"
"132","French Technology Customer Success Analyst €40-50,000","Dublin","Origin Multilingual","Analytical with the ability to digest data and produce relevant market reports. A new French Cloud Sales & Success team is being created in Dublin for a leading…","Dublin"
"133","R&D Lab Technician","Cork","PepsiCo","Develop reference files, quality control charts, and graphs on laboratory data. Work with analysts to monitor monthly Key Performance Indicators and report them…","Dublin"
"134","Associate Test Analyst","Letterkenny, County Donegal","SITA","You will be designing scalable and maintainable automated test solutions and specify the requirements for test environments, test data, resources and tools.","Dublin"
"135","Management Analyst (Org & Cost)","Dublin","Bytedance","Significant experience in data analysis, project management, and cross-function workflow processes. TikTok is the leading destination for short-form mobile…","Dublin"
"136","Sourcing Junior Analyst/Expeditor","Dublin","Twitter","Demonstrated skills in rigorous, data driven analyses that drive creative problem solving, proposal preparation, and negotiation.","Dublin"
"137","Senior QC Analyst - Biochemistry & Cell Biology","Dunboyne, County Meath","MSD","Review and approve Analytical Testing data. An amazing opportunity has arisen for a Senior QC Analyst in Biochemistry & Cell Biology at Dunboyne Biologics, our…","Dublin"
"138","Senior Product Data Analyst","Dublin","Teckro Limited","Teckro welcomes the opportunity for a senior data analyst to join and support the product teams with metrics to define, measure effectiveness and drive success…","Dublin"
"139","Russian-speaking Financial Data Analyst","Dublin","Sigmar Recruitment","Attribute the available data in the income statement, balance sheet and cash flow statement in accordance with the collection policy.","Dublin"
"140","Information Security Analyst","Dublin","First Derivatives plc/Kx","Work alongside relevant data protection colleagues in relation to GDPR and data security. Reporting to the Head of Information Security, the Information…","Dublin"
"141","HRIS Analyst (9 Months Contract)","Clondalkin, County Dublin","ARYZTA Careers","Help maintain data integrity in systems and ensuring compliance with legislation e.g. GDPR. Great written and verbal communication skills with the ability to…","Dublin"
"142","Payroll and Benefits Analyst (3-month contract)","Cork","Barden FS","At least 1/2 years of experience in Finance role/analysing data. Here in Barden we are delighted to be working with one of our globally recognised multinational…","Dublin"
"143","Data Analyst (German/ Hebrew Speaking)","Dublin","Intercontinental Exchange","Use excel functions to organize, analyze and create reference data. Help identify trends and causation of inaccurate and/or incomplete data.","Dublin"
"144","Temp Sample Management Analyst","Limerick","Regeneron","This group also acts as a point of contact between various departments within Regeneron and with the external vendors to support activities, timely…","Dublin"
"145","Global Demand Control Analyst","Shannon, County Clare","Zimmer Biomet","The Global Demand Control Analyst is responsible for managing change in the short-term. The incumbent is also responsible for monitoring the performance of the…","Dublin"
"146","Customer Support Analyst - Dublin - Contract","Dublin","TELUS International","You will be data driven and have the ability to see and investigate and research user issues and identify and escalate bugs so they can be resolved as quickly…","Dublin"
"147","Business Process Analyst - 12months contract","Cork","Apple","Apple is a place where extraordinary people gather to do their best work. Together we build products and experiences people once couldn’t have envisioned - and…","Dublin"
"148","Business Analyst, European Fund Operations, Dublin","Dublin","Baillie Gifford","An independent active fund management firm is looking for a Business Analyst to support its investment management and trading oversight activities in relation…","Dublin"
"149","Marketing Science Analyst- Bilingual French & English","Dublin","Analytic Partners","Experience working with big data; building and optimizing 'big data' data pipelines, architectures, and data sets. Our differentiator is – Our People!","Dublin"
"150","Molecular Biology Analyst","Ballina, County Mayo","Charles River Laboratories","Make detailed observations and accurately and precisely record data, summarize data for reports and document all activities performed in accordance with current…","Dublin"
"151","Lead Quant Analyst - Stress Testing - Dublin/London","Dublin","CRISIL LIMITED","Exposure to credit risk data or market risk principles including valuation and pricing models (not modellers). Title: * Business Analysts or PMs Stress testing.","Dublin"
"152","eCommerce Analyst","North Dublin, County Dublin","Connexus Recruit","Draw actionable insights from the data. 3 years’ experience in data analysis. Prepare concise reports and summarise data and trends.","Dublin"
"153","Helpdesk Technician","Dublin","HubSpot","By submitting your application, you agree that HubSpot may collect your personal data for recruiting, global organization planning, and related purposes.","Dublin"
"154","PPC Analyst / Advertising Manager","Remote","Alison","You should be passionate about numbers and data analysis, with strong attention to detail and accuracy. You will have the ability to quickly understand and…","Dublin"
"155","Team Lead, Data Analytics","Dublin","Dataminr","Experience leading, supervising, or managing data analysts. All personal data will be processed in accordance with Dataminir's data privacy notice available…","Dublin"
"156","Financial Analyst","Cork","Purcell O' Leary","The primary role of the P2P Financial Analyst is to provide overall coordination & support for the end to end P2P process.","Dublin"
"157","Financial Analyst, FP&A (Dublin or New York)","Dublin","MongoDB","Implementation of budget and forecasting data in Adaptive Insights to support the forecasting process. Provide a deep source of knowledge across MongoDB's ERP &…","Dublin"
"158","Account Executive | Worldpanel Division","Dublin","KANTAR","Kantar is the world’s leading data, insights and consulting company. Then build stories for our clients that inspire them to make successful decisions using our…","Dublin"
"159","Treasury Analyst","Dublin","Executive Connections","Development of finance leading products data tapes facilitating reporting requirements. Design & coordinate data gap analysis on internal systems to provide…","Dublin"
"160","Data Governance Analyst","Dublin","Morgan McKinley","You will have hands-on experience with managing libraries of data with demonstrated experience in building and managing data governance frameworks.","Dublin"
"161","Territory Analyst (EMEA)","Dublin","MongoDB","Improve internal and external tools and data sources to identify high-propensity accounts. We expect the Territory Management Specialist to drive broad-based…","Dublin"
"162","Senior Business Analyst","Dublin","Expleo","Responsible for needs analysis, task planning, process/data analysis and modelling and/or logical database design with relational databases.","Dublin"
"163","Junior Business Analyst – Contract","Dublin","Eolas Recruitment","Access Management – collating and creating data for review with relevant owners. Audit – review and compilation of data relating to internal and external audit.","Dublin"
"164","Business Analyst","Dublin","Morgan McKinley","Ability to distil complex data/analyses in to understandable information and actions. Ability to deliver analytic rigor relative to the realities of the data.","Dublin"
"165","Senior Performance Marketing Analyst","Dublin","Ding","Commercially minded with experience in interpreting data into meaningful information. Ability to harvest insights from data with proficiency in R/Python.","Dublin"
"166","Pharmaceutical Analyst","Sligo","Dillon Engineering Services","Carry out data calculations and basic statistics. Our client, an essential player in the global life science sector is looking for a Lab Analyst to join their…","Dublin"
"167","Senior Project Controls Engineer, Data Analyst","Dublin","Turner & Townsend","Provide guidance and advice on data quality issues to a wide variety of data providers. Strong analytic and numeracy skills with the ability to understand and…","Dublin"
"168","Senior Researcher","Dublin","Intercom","We're a team of data scientists and researchers who use data — both big and small — to unlock actionable insights about our customers, our products and our…","Dublin"
"169","CRM Consultant","Dublin","ProvidentCRM Limited","Gather requirements, develop design specification documents and also perform tasks such as configuration, testing, data manipulation and documentation;","Dublin"
"170","Business Intelligence Analyst (Remote working on offer)","Dublin","Ascension Group","Our client will offer you a chance to work on a wide range of exciting and interesting data lead projects. This role offers the right candidate an opportunity…","Dublin"
"171","Regulatory Reporting Analyst - Retail","Dublin","Executive Connections","Maintain satisfactory data quality controls and data integrity, including testing of regulatory reporting system changes and upgrades.","Dublin"
