"","job_title","job_location","company_name","job_description","city"
"69","Equity Research Analyst","Dublin","Susquehanna International Group","Research interns work collaboratively with traders to learn how our analyst opinions impact trading decisions. What we're looking for.","Dublin"
"70","Data Analyst","Cork","Apple","The Applecare Business Insight team is seeking a data analyst to join the team whose charter is crafting and measuring business critical metrics for Apple’s…","Dublin"
"71","Contract Management Analyst - 4045","Dublin","ION","ION provides mission-critical trading and workflow automation software solutions to corporates, central banks and financial institutions.","Dublin"
"72","Data Analyst","Cork","PepsiCo","Perform as a business analyst working with the business to ensure timely delivery of required functionality. Position Purpose and Primary Accountabilities.","Dublin"
"73","Business Process Analyst","Dublin","Surecom NS Ltd","The purpose of this role is to work with functional SME’s across business to define a core set of cross-functional business processes and workflows.","Dublin"
"74","Pricing Analyst","Dublin","Aviva","The Pricing department within Aviva General Insurance works to deliver market prices for all Personal and Commercial Lines insurance products.","Dublin"
"75","Data Analyst","Dublin","Next Generation Recruitment","You have experience as a data analyst in a client-facing environment. If you are a spectacular Data Analyst who wants to take the next step working at an…","Dublin"
"76","2021 Equity Research Analyst","Dublin","Susquehanna International Group","Research analysts provide real-time opinions on breaking news and in-depth analysis of future volatility events. Providing real-time opinions on breaking news.","Dublin"
"77","Project Analyst, OPMO","Dublin","West Pharmaceutical Services","West Pharmaceutical Services, Inc. is a leading manufacturer of packaging components and delivery systems for injectable drugs and healthcare products.","Dublin"
"78","Service Desk Analyst","Dublin","ICT Services","ICT Services are currently seeking a Service Desk Analyst, working on one of our customer sites in South Dublin. Works collaboratively in a team environment.","Dublin"
"79","Risk Quality Analyst","Dublin","Accenture","The quality analysts are empowered to provide immediate feedback to analysts that have error trends or have been incurring errors above the normal range.","Dublin"
"80","Social Media- Content Moderator- Multilingual","Dublin","CPL Recruitment","Community Operations Analysts review published online content and harmful accounts that affect millions of users world-wide. THIS JOB IS NOT REMOTE *.","Dublin"
"81","Financial Data Sampling Analyst","Dublin","Accenture","Accenture are offering an excellent entry level Financial Data Sampling Analyst opportunity where you will be a core member of our growing team.","Dublin"
"82","Business Analyst","Dublin","Aviva","Provide support to other business analysts, business process owners and project managers to help driver business initiatives. Experience using JIRA & MS Visio.","Dublin"
"83","AML Analyst - Spanish speaking","Remote","Engage People","This is an opportunity to join a global player on the investment stage with a significant and growing presence in Ireland. Do you speak Spanish (Preferred).","Dublin"
"84","Biomarker Research Analyst - Asia","Remote","Larvol","Title/Position: Associate Analyst / Analyst. Perform daily searches in clinical trial registries, extract and analyse clinical trial information.","Dublin"
"85","Finance & Tax Trainee","Dublin","Salesforce","To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.","Dublin"
"86","Logistics Operations Analyst","Dublin","PlaceMe","As Logistics Operations Analyst you will be responsible for delivering analytical support to key stakeholders across the logistics operation for a variety of…","Dublin"
"87","Actuarial Analyst Internship (June 2021 - Sept 2021) - Dublin, Ireland","Dublin","UnitedHealth Group","Optum, the fast-growing part of UnitedHealth Group, is a leading information and technology-enabled health services business.","Dublin"
"88","Lab Analyst","Tipperary","PSC Biotech","_PSC Biotech is a leading Biotech Consultancy firm founded in 1996, headquartered in Pomona, California, USA, with Global operations in Ireland, India,…","Dublin"
"89","Project Analyst","Dublin","Bentley Systems","The Project Administration and Controls team is hiring a Program Analyst in Dublin to support colleagues and projects for Enterprise 365, Recurring Service,…","Dublin"
"90","Business Analyst - Finance","Dublin","Sandvik","DON’T BE IN THE DARK ABOUT YOUR CAREER……. WE WANT YOU TO HELP US CREATE THE DIGITAL FUTURE OF OUR COMPANY. This is a greenfield implementation for Sandvik, a…","Dublin"
"91","Business Analyst - Inventory Management","Dublin","Sandvik","DON’T BE IN THE DARK ABOUT YOUR CAREER……. WE WANT YOU TO HELP US CREATE THE DIGITAL FUTURE OF OUR COMPANY. This is a greenfield implementation for Sandvik, a…","Dublin"
"92","Web Analyst","Dublin","Gambling.com Group","Gambling.com Group Plc is a multi-award-winning provider of digital marketing services for the global online gambling industry.","Dublin"
"93","Application Support Analyst","Dublin","Afex","AFEX is a trusted global payment and risk management solutions specialist with a heritage that dates back to 1979. Assist with special projects as needed.","Dublin"
"94","Business Analyst","Dublin","Zurich","Ireland Governance Business Analyst – European Economic Area (EEA). Reporting to the Head of EEA Oversight, you will act as a liaison between cross border…","Dublin"
"95","Finance Analyst (FP&A)","Dublin","Citco","Citco is a global leader in fund services, corporate governance and related asset services with staff across 80 offices worldwide.","Dublin"
"96","Business Analyst - Order Management","Dublin","Sandvik","DON’T BE IN THE DARK ABOUT YOUR CAREER……. WE WANT YOU TO HELP US CREATE THE DIGITAL FUTURE OF OUR COMPANY. This is a greenfield implementation for Sandvik, a…","Dublin"
"97","Product Analyst","Dublin","fire.com","We are looking to recruit an analyst to join our product team. As a product analyst you will be working closely with our Chief Product Officer, development team…","Dublin"
"98","Analyst, Analytics","Athlone, County Westmeath","NPD Group","Learn and work on meaningful initiatives with some of the best and brightest in the market research industry. The NPD Group provides the world’s most successful…","Dublin"
"99","Business Support Analyst","Dublin","Susquehanna International Group","We are looking to add a business support analyst to join the existing EOT reliability team. You will work in a heavily business focused technology environment…","Dublin"
"100","Manufacturing - Data Analyst","Dublin","Siemens Limited","We're recruiting a Manufacturing data analyst – a ‘data whizz ‘with experience of complex manufacturing processes. Change the future with us.","Dublin"
"101","Reward Analyst","Dublin","Penneys","Join our Global Rewards Team in Dublin. We have an opportunity for an experienced Rewards Analyst to join the team to contribute and support the Global Reward…","Dublin"
"102","Technology - Dublin - 2021 ReEntry Program","Dublin","JPMorgan Chase Bank, N.A.","We have opportunities for software engineers, architects, project managers, business analysts, data scientists and senior management.","Dublin"
"103","Data Analyst","Athlone, County Westmeath","PlaceMe","Carry out analysis on compliance ensuring that the information provided is accurate and relevant to the company's needs. Strong communicator-verbal and written.","Dublin"
"104","Copyright Analyst with Russian","Dublin","Accenture","Content Review Associate (Legal Support). The team is looking for an intelligent, resourceful, detail-oriented candidate for a legal process support .","Dublin"
"105","Research Executive","Dublin","Kantar TNS","Through continuous monitoring, advanced analytics and tailored solutions, Kantar Worldpanel inspires successful decisions by brand owners, retailers, market…","Dublin"
"106","Commercial Analyst","Dublin","ION","The Commercial Team requires a unique blend of negotiator, analyst, lawyer, accountant and graphic designer; in other words, we’re looking for unicorns.","Dublin"
"107","Risk Analyst, Enterprise Risk","Dublin","BNY Mellon","The primary remit of the Legal Entity Risk Office (LERO) is to ensure all Legal Entity governance bodies have the necessary risk information and advice required…","Dublin"
"108","Quality Analyst","Dublin","Coinbase","Coinbase has built the world's leading compliant cryptocurrency platform serving over 30 million accounts in more than 100 countries.","Dublin"
"109","Lab Analyst","Cork","PepsiCo","We are currently pipelining for roles which will be coming up in out Quality department in the areas of lab analyst. Adhere to safe lab practices and GLP.","Dublin"
"110","AML Analyst","Louth","Aztec Group","Reports to AML Manager / AML Supervisor. As an AML Analyst you will be dealing with Anti-Money Laundering and Counter Financing Terrorism (CFT) matters on a…","Dublin"
"111","Analytical Laboratory Analyst","Limerick","Cook Group","The Laboratory Analyst will be required to assist the Laboratory Supervisor/Senior Laboratory Analyst in the day to day running of the Analytical Chemistry Lab.","Dublin"
"112","Business Analyst","Dublin","Wildlife Studios","Our Ad Monetization team is reinventing itself. We know that the work we do has a high impact on our company's success and culture.","Dublin"
"113","Advanced Threat Research Analyst","Dublin","opentext","As the Information Company, our mission at OpenText is to create software solutions and deliver services that redefine the future of digital.","Dublin"
"114","Portfolio Analyst","Dublin","Pacific Investment Management Company LLC","Date published: 02-Dec-2020. We are PIMCO, a leading global asset management firm. We manage investments and develop solutions across the full spectrum of asset…","Dublin"
"115","2021 Economic Internship – Dublin","Dublin","Frontier Economics Limited","Frontier is an economics consultancy that tackles the big questions facing governments, businesses and society. You will be responsible for:","Dublin"
"116","Technology Risk Analyst","Dublin","Susquehanna International Group","Reporting to the Technology Risk Officer, you will be involved in technology risk oversight through the monitoring of risks, identification of control gaps and…","Dublin"
"117","Technology Innovation Research Analyst","Dublin","Electric Power Research Institute","Performs routine engineering/ scientific analysis in technical or scientific areas. Works directly with EPRI staff and minimal interaction with members at…","Dublin"
"118","Biopharm Analyst","Waterford","Eurofins Central Laboratory","Eurofins Scientific is an international life sciences company, providing a unique range of analytical testing services to clients across multiple industries, to…","Dublin"
"119","Finance Senior Analyst - Dublin, Ireland or Leatherhead, UK","Dublin","Zoetis","The Finance Senior Analyst is responsible for preparing the Budgeting, Forecasting, Analysis and Management Reporting activities for designated markets.","Dublin"
"120","Supply Chain Analyst","Roscommon","Cubis Systems","Candidates must have experience in an analyst role. Reporting to the Supply Chain Director the successful candidate will provide support to our operations site.","Dublin"
"121","Analyst, HR General Services","Limerick","Northern Trust Corp.","May be responsible for training other HR Service Centre analysts. Northern Trust provides innovative financial services and guidance to corporations,…","Dublin"
"122","Research Executive","Dublin","KANTAR","Through continuous monitoring, advanced analytics and tailored solutions, Kantar Worldpanel inspires successful decisions by brand owners, retailers, market…","Dublin"
"123","QC Analyst","North Dublin, County Dublin","Sigmar Recruitment","The QC Analyst will be responsible for testing of all laboratory samples including Raw Materials, Packaging Components, Product, Validation, Stability,…","Dublin"
"124","Microbiology Analyst","South Dublin, County Dublin","Sigmar Recruitment","The Microbiology analyst will carry out equipment qualification and assay validation. The Microbiology analyst will carry out a range of testing such as…","Dublin"
"125","PMO Analyst - Banking - FS Consulting - Dublin","Dublin","EY","PMO Analyst - Banking - FS Consulting - Dublin. EY is the only major professional services firm with an integrated Financial Services practice across Europe,…","Dublin"
"126","IT Application Support Analyst – Trade Floor","Dublin","Barclays","IT Application Support Analyst – Trade Floor. As a Barclays IT Application Support within the Equities technology department you will be supporting Front Office…","Dublin"
"127","Infosec Analyst","Dublin","Toast","Now, more than ever, the Toast team is committed to our customers. We're taking steps to help restaurants navigate these unprecedented times with technology,…","Dublin"
"128","Compliance Analyst","Dublin","Geneva Trading","How You Can Make An Impact. As a Compliance Analyst at Geneva Trading, you will work directly with the Head of Compliance to provide our front office trading…","Dublin"
"129","Application Support Analyst","Dublin","Marex Spectron","We are currently searching for an experienced support analyst to join our busy IT team based in Sandyford in Dublin.","Dublin"
"130","PMO Support Analyst","Dublin","Sandvik","DON’T BE IN THE DARK ABOUT YOUR CAREER……. WE WANT YOU TO HELP US CREATE THE DIGITAL FUTURE OF OUR COMPANY. This is a greenfield implementation for Sandvik, a…","Dublin"
"131","Due Diligence Analyst","Dublin","Sedgwick Ireland","Fixed term contract 3-6 months. Based in Dublin City Centre. Under the overall direction of the Client’s Team Manager, the Insurance Due Diligence Analyst…","Dublin"
"132","Quality Analyst-Dublin hub-Danish","Dublin","TikTok","Conduct quality assessment work by ensuring and evaluating the quality delivery of the content reviewed in European markets.","Dublin"
"133","Digital Data Analyst","Dublin","Nielsen","Responsible for QC monitoring and panel coding for digital devices in panel homes. Will support metering production systems (hardware and software) and develop…","Dublin"
"134","Business Analyst - Trade Compliance","Dublin","Sandvik","DON’T BE IN THE DARK ABOUT YOUR CAREER……. WE WANT YOU TO HELP US CREATE THE DIGITAL FUTURE OF OUR COMPANY. This is a greenfield implementation for Sandvik, a…","Dublin"
"135","Professional Services Analyst","Tralee, County Kerry","Aspen Grove Solutions","Aspen Grove Solutions have an exciting opportunity for a Professional Services Analyst with a passion for delivering high-quality products and services and the…","Dublin"
"136","Associate QA","Dublin","Accenture","The quality analysts are empowered to provide immediate feedback to analysts that have error trends or have been incurring errors above the normal range.","Dublin"
"137","IT Business Analyst Supply Chain","Dublin","Team Horizon","The IT Business Analyst GSC works closely with information technology operations, working with other support personnel and within guidelines of our client’s…","Dublin"
"138","Senior Data Analyst","Remote","Polinode","Polinode is a SaaS company that provides both large enterprises and consultants to enterprises with tools to visualize and analyze the informal relationships (i…","Dublin"
"139","IT BUSINESS ANALYST","Dundalk, County Louth","BoyleSports","The BoyleSports group has retail, B2B, B2C and e-commerce dimensions. It has high volume real-time trading applications and mission critical websites.","Dublin"
"140","Payments Analyst","Dublin","Customer Management Resourcing","€33,000 - €38,000 + Fantastic company benefits. We are excited to be supporting an innovative fintech start up business in their expansion and hunt for the best…","Dublin"
"141","Custody Support Analyst, Client Services","Dublin","Coinbase","Set a high bar for support analysts within the organization by setting an example through performance and work ethic. What you’ll be doing (ie. job duties):","Dublin"
"142","Salesforce Analyst","South Dublin, County Dublin","Ulster Bank","Join us as a Salesforce Analyst. This is an opportunity for a technically minded individual to join us as a Salesforce Analyst. The skills you'll need.","Dublin"
"143","Senior Analyst","Dublin","bluestoneam","The successful candidate will primarily be responsible for arranging and executing funding transactions for BMFI. Production of monthly credit packs.","Dublin"
"144","Payroll Analyst - Dublin","Dublin","TikTok","Managing and improving payroll operations for Ireland (Dublin). Effectively manage payroll vendors by strictly adhering to the contract and SLA.","Dublin"
"145","Quantitative Analyst Programme 2021 - PhD","Dublin","Susquehanna International Group","As a graduate analyst you will be given a unique insight into the world of quantitative trading, interacting with quants, traders, and developers on live…","Dublin"
"146","MES Support Analyst","Dublin","PerkinElmer","Level 1/2/3 Support for a Werum PASX Manufacturing Execution System. Sets work expectations with customers and delivers against them.","Dublin"
"147","IT Business Analyst – Manufacturing","Dublin","Team Horizon","The IT Business Analyst works closely with information technology operations, working with other support personnel and within guidelines of our client’s global…","Dublin"
"148","Business Analyst","Dublin","EirGrid Group","You will have previous project experience as a business analyst. You will have a university degree in computer science, Information Technology, Business or…","Dublin"
"149","Product Analyst","Dublin","Realex Payments","A minimum of 3 years of experience as a business analyst, product analyst or product owner in a technology environment on agile development team.","Dublin"
"150","Technical System Analyst (Product)","Dublin","Sogeti Ireland","We’re looking for a technical system analyst to join our team and take responsibility for eliciting product development requirements as well as designing…","Dublin"
"151","Market Data Analyst","Dublin","S4 Market Data","Note – This is a passive job advert, here at S4 Market data we have multiple roles coming online at different times according to the requirements of our clients…","Dublin"
"152","Senior Revenue Analyst","South Dublin, County Dublin","Barden FS","Great opportunity for a qualified accountant to join the Revenue team of a rapidly Growing Global Tech business. Provide support for ad-hoc projects.","Dublin"
"153","French Enterprise Technology Sales Analyst, Remote","Dublin","Origin Multilingual","Do you have experience in Technology Sales in the French Market? Are you interested in moving into Enterprise Sales for one of the World's leading Cloud…","Dublin"
"154","Sales Compensation Administration Analyst, Google Cloud","Dublin","Google","Note: By applying to this position your application is automatically submitted to the following locations: London, UK; Dublin, Ireland.","Dublin"
"155","Process Automation - Business Analyst","Dublin","Paddy Power Betfair","The Robotic Process Automation (RPA) delivery team is a cross functional team, created by the EXCO to deliver a consistent and transformational RPA programme…","Dublin"
"156","CRM Analyst - Betfair International","Dublin","Betfair International","The role: CRM Analyst - Betfair International. We are looking for a CRM Analyst to join our growing Betfair International team in Dublin. Who we’re looking for:","Dublin"
"157","Reporting Systems and BI Analyst","Dublin","Penneys","Reporting System and BI Analyst. Reports to: Finance Reporting Controller. Drive the transformation of the Finance reporting function to deliver a best in class…","Dublin"
"158","Senior Analyst","Dublin","Mitsubishi UFJ Fund Services","Due to high demand for its services we are looking for a Senior Associate to join our BPO, Trade & Portfolio Operations department in our Dublin office.","Dublin"
"159","R&D Lab Technician","Cork","PepsiCo","Work with analysts to monitor monthly Key Performance Indicators and report them to team lead and QMS Champion highlighting any issues, concerns etc.","Dublin"
"160","Settlements Risk Analyst","Dublin","Susquehanna International Group","You will be primarily responsible for Global Settlements for the SIG European companies. The role involves working closely with traders in a front office…","Dublin"
"161","Deloitte Digital – Digital Business Analyst - Senior Consultant","Dublin","Deloitte","Those years in the role of digital business analyst. Business analysts, software architects & engineers, and digital marketers –. What impact will you make?","Dublin"
"162","Tax Analyst","Dublin","TIBCO Software","This is an excellent opportunity for a part qualified or newly qualified (AITI, CTA, ACA, ACCA, CIMA or equivalent) to join our Tax team based in Dublin as a…","Dublin"
"163","Europe Graduate Programme 2021 - ICT","Naas, County Kildare","Kerry","The team is made up of both technical developers and business analysts. We are looking for smart, innovative and collaborative Graduates to work across business…","Dublin"
"164","Sr. Business Analyst","Dublin","Bynaric","Minimum 5 years relevant work experience as a business analyst, ideally in a lead role. Provide best in class business analyst acumen to project team raise…","Dublin"
